id,title,title_japanese,format,episodes,durationmin,start_date,studio,genres,average_score,popularity,description,anilist_url,studio_list,start_date_filled
195515,"Yuusha Party ni Kawaii Ko ga Ita no de, Kokuhaku Shitemita.",勇者パーティーにかわいい子がいたので、告白してみた。,TV,,,2026-01-06,Gekkou,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,2944,"When Youki was reincarnated into a magical world, he became neither a hero nor a demon lord, but instead became a middle-level subordinate demon guarding the castle. When the Hero's party attacked the demon lord's castle, Youki was able to defeat them easily. But he fell in love at first sight with the beautiful cleric Cecelia!",https://anilist.co/anime/195515,['Gekkou'],2026-01-06
183661,Isekai no Sata wa Shachiku Shidai,異世界の沙汰は社畜次第,TV,,,2026-01-06,Studio DEEN,"['Adventure', 'Fantasy', 'Romance', 'Slice of Life']",,2710,"Seiichirou Kondou, a salaryman approaching his 30s, gets caught up in a holy maiden summoning ritual and is transported to a parallel world called Romany Kingdom. Having worked day and night, he developed the mindset of a corporate slave and even demanded work in this new world, which landed him an accounting job at the Royal Accounting Department.    During his hectic days rebuilding the accounting department, Seiichirou came across a nutritional tonic that wiped away any fatigue. Thanks",https://anilist.co/anime/183661,['Studio DEEN'],2026-01-06
180746,Shibou Yuugi de Meshi wo Kuu.,死亡遊戯で飯を食う。,TV,,,2026-01-07,Studio DEEN,"['Action', 'Drama', 'Mystery']",,5408,"Yuuki wakes up to find herself wearing a maid's uniform in a strange manor. After wandering into the dining room, she comes across five other girls, each in the exact same outfit. Soon, the girls learn that the manor is brimming with lethal weapons and an array of deadly traps…and that they can only escape by playing the most gruesome of games. As the terrifying truth sets in, each girl's face goes pale—except Yuuki's. Why? Because this isn't her first go-round. That's right—Yuuki is a professio",https://anilist.co/anime/180746,['Studio DEEN'],2026-01-07
183984,Arne no Jikenbo,アルネの事件簿,TV,12.0,,2026-01-07,SILVER LINK.,['Mystery'],,1702,"Arne Neuntöte is a vampire detective who manipulates supernatural powers. Lynn Reinweiß is a nobleman’s daughter who loves vampires. Their worlds should never have crossed, but they join hands to solve a bloody mystery.    In the darkest of nights, Lynn finds herself in desperate need of help. Then she wanders into the mysterious city of ""Lügenberg"", where non-humans live. Lynn's world changes drastically when she encounters ""Arne"", a vampire who is called ""the worst"" in the city. And toni",https://anilist.co/anime/183984,['SILVER LINK.'],2026-01-07
183270,Eris no Seihai,エリスの聖杯,TV,,,2026-01-08,Ashi Productions,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",,4244,"As a viscount’s daughter, Constance Grail is an ordinary girl whose only notable trait is sincerity, leaving her with no real options when someone steals her fiance and falsely accuses her of petty theft at a ball. While Connie awaits her undeserved punishment, a ghost appears to offer a bargain. The spirit is none other than Scarlett Castiel, a noblewoman once praised for her beauty, lineage, and undeniable charisma-and executed some ten years earlier for her wicked deeds. When Connie accepts t",https://anilist.co/anime/183270,['Ashi Productions'],2026-01-08
187892,ALL YOU NEED IS KILL,ALL YOU NEED IS KILL,MOVIE,1.0,82.0,2026-01-09,Studio 4°C,"['Action', 'Sci-Fi', 'Supernatural', 'Thriller']",,8076,"After an unidentified plant from outer space invasion, Rita finds herself trapped in a time loop, forced to relive the same day over and over again. With each loop, she learns. She fights. Her memories and experiences sharpen her skills, turning her into a formidable warrior. Yet, the endless cycle of death and solitude begins to wear her down. Then, she meets Keiji.  ""I've been repeating this day too,""  he says. Two lost souls, trapped in an endless war. Could their meeting change fate?",https://anilist.co/anime/187892,['Studio 4°C'],2026-01-09
172463,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,呪術廻戦 死滅回游 前編,TV,,,2026-01-09,MAPPA,"['Action', 'Drama', 'Supernatural']",,78009,"The third season of Jujutsu Kaisen, adapting the Culling Game Arc.",https://anilist.co/anime/172463,['MAPPA'],2026-01-09
176276,Mato Seihei no Slave 2,魔都精兵のスレイブ2,TV,,,2026-01-09,"Passione, Hayabusa Film","['Action', 'Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Romance']",,16955,The second season of Mato Seihei no Slave.,https://anilist.co/anime/176276,"['Passione', 'Hayabusa Film']",2026-01-09
189137,"Douse, Koishite Shimaunda. Season 2",どうせ、恋してしまうんだ。Season 2,TV,,,2026-01-09,TYPHOON GRAPHICS,"['Drama', 'Romance']",,1868,"The second season of Douse, Koishite Shimaunda.",https://anilist.co/anime/189137,['TYPHOON GRAPHICS'],2026-01-09
179062,Enen no Shouboutai: San no Shou Part 2,炎炎ノ消防隊 参ノ章 第2クール,TV,,,2026-01-10,David Production,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",,31996,The second cour of Enen no Shouboutai: San no Shou.,https://anilist.co/anime/179062,['David Production'],2026-01-10
